date,ticker,value
1986-04-02,aapl,0.102529
1986-04-03,aapl,0.101641
1986-04-04,aapl,0.100447
1986-04-07,aapl,0.102529
1986-04-08,aapl,0.103754
1986-04-09,aapl,0.101938
1986-04-10,aapl,0.102529
1986-04-11,aapl,0.101641
1986-04-14,aapl,0.101049
1986-04-15,aapl,0.102846
1986-04-16,aapl,0.106165
1986-04-17,aapl,0.109178
1986-04-18,aapl,0.111893
1986-04-21,aapl,0.114304
1986-04-22,aapl,0.112475
1986-04-23,aapl,0.111282
1986-04-24,aapl,0.117919
1986-04-25,aapl,0.121226
1986-04-28,aapl,0.120348
1986-04-29,aapl,0.117591
1986-04-30,aapl,0.113732
1986-05-01,aapl,0.113732
1986-05-02,aapl,0.114627
1986-05-05,aapl,0.120673
1986-05-06,aapl,0.122659
1986-05-07,aapl,0.118263
1986-05-08,aapl,0.124298
1986-05-09,aapl,0.125524
1986-05-12,aapl,0.136931
1986-05-13,aapl,0.135429
1986-05-14,aapl,0.138422
1986-05-15,aapl,0.135429
1986-05-16,aapl,0.135429
1986-05-19,aapl,0.133889
1986-05-20,aapl,0.133028
1986-05-21,aapl,0.139033
1986-05-22,aapl,0.138164
1986-05-23,aapl,0.139033
1986-05-26,aapl,0.139033
1986-05-27,aapl,0.138422
1986-05-28,aapl,0.139993
1986-05-29,aapl,0.139033
1986-05-30,aapl,0.139033
1986-06-02,aapl,0.139645
1986-06-03,aapl,0.142284
1986-06-04,aapl,0.14568
1986-06-05,aapl,0.146018
1986-06-06,aapl,0.142065
1986-06-09,aapl,0.135429
1986-06-10,aapl,0.135429
1986-06-11,aapl,0.135755
1986-06-12,aapl,0.135429
1986-06-13,aapl,0.136931
1986-06-16,aapl,0.134778
1986-06-17,aapl,0.128712
1986-06-18,aapl,0.128712
1986-06-19,aapl,0.131804
1986-06-20,aapl,0.135429
1986-06-23,aapl,0.13058
1986-06-24,aapl,0.130906
1986-06-25,aapl,0.134778
1986-06-26,aapl,0.136349
1986-06-27,aapl,0.134778
1986-06-30,aapl,0.134778
1986-07-01,aapl,0.133028
1986-07-02,aapl,0.135755
1986-07-03,aapl,0.141423
1986-07-04,aapl,0.141423
1986-07-07,aapl,0.133889
1986-07-08,aapl,0.128712
1986-07-09,aapl,0.130313
1986-07-10,aapl,0.133028
1986-07-11,aapl,0.139645
1986-07-14,aapl,0.136349
1986-07-15,aapl,0.130906
1986-07-16,aapl,0.125818
1986-07-17,aapl,0.121226
1986-07-18,aapl,0.119439
1986-07-21,aapl,0.125818
1986-07-22,aapl,0.130313
1986-07-23,aapl,0.128121
1986-07-24,aapl,0.124575
1986-07-25,aapl,0.127842
1986-07-28,aapl,0.12182
1986-07-29,aapl,0.117591
1986-07-30,aapl,0.114627
1986-07-31,aapl,0.117591
1986-08-01,aapl,0.117919
1986-08-04,aapl,0.118263
1986-08-05,aapl,0.120673
1986-08-06,aapl,0.117019
1986-08-07,aapl,0.119439
1986-08-08,aapl,0.118847
1986-08-11,aapl,0.125818
1986-08-12,aapl,0.128712
1986-08-13,aapl,0.135429
1986-08-14,aapl,0.135429
1986-08-15,aapl,0.13448
1986-08-18,aapl,0.133028
1986-08-19,aapl,0.133028
1986-08-20,aapl,0.136349
1986-08-21,aapl,0.13448
1986-08-22,aapl,0.136349
1986-08-25,aapl,0.136931
1986-08-26,aapl,0.137819
1986-08-27,aapl,0.139033
1986-08-28,aapl,0.142065
1986-08-29,aapl,0.139033
1986-09-01,aapl,0.139033
1986-09-02,aapl,0.13058
1986-09-03,aapl,0.13058
1986-09-04,aapl,0.133286
1986-09-05,aapl,0.132121
1986-09-08,aapl,0.13058
1986-09-09,aapl,0.13448
1986-09-10,aapl,0.131804
1986-09-11,aapl,0.122659
1986-09-12,aapl,0.119439
1986-09-15,aapl,0.124575
1986-09-16,aapl,0.130906
1986-09-17,aapl,0.128712
1986-09-18,aapl,0.127842
1986-09-19,aapl,0.126362
1986-09-22,aapl,0.132367
1986-09-23,aapl,0.135755
1986-09-24,aapl,0.132121
1986-09-25,aapl,0.12971
1986-09-26,aapl,0.128712
1986-09-29,aapl,0.122097
1986-09-30,aapl,0.125818
1986-10-01,aapl,0.128121
1986-10-02,aapl,0.128121
1986-10-03,aapl,0.126986
1986-10-06,aapl,0.128121
1986-10-07,aapl,0.124298
1986-10-08,aapl,0.123005
1986-10-09,aapl,0.124298
1986-10-10,aapl,0.124881
1986-10-13,aapl,0.130313
1986-10-14,aapl,0.127842
1986-10-15,aapl,0.125524
1986-10-16,aapl,0.126362
1986-10-17,aapl,0.126362
1986-10-20,aapl,0.123676
1986-10-21,aapl,0.123005
1986-10-22,aapl,0.122097
1986-10-23,aapl,0.124575
1986-10-24,aapl,0.124298
1986-10-27,aapl,0.127842
1986-10-28,aapl,0.125524
1986-10-29,aapl,0.125524
1986-10-30,aapl,0.128712
1986-10-31,aapl,0.130313
1986-11-03,aapl,0.131804
1986-11-04,aapl,0.13448
1986-11-05,aapl,0.139033
1986-11-06,aapl,0.135755
1986-11-07,aapl,0.13448
1986-11-10,aapl,0.133028
1986-11-11,aapl,0.133286
1986-11-12,aapl,0.137819
1986-11-13,aapl,0.133286
1986-11-14,aapl,0.132367
1986-11-17,aapl,0.136931
1986-11-18,aapl,0.133028
1986-11-19,aapl,0.131804
1986-11-20,aapl,0.132367
1986-11-21,aapl,0.135429
1986-11-24,aapl,0.142876
1986-11-25,aapl,0.151114
1986-11-26,aapl,0.152329
1986-11-27,aapl,0.152329
1986-11-28,aapl,0.150501
1986-12-01,aapl,0.150816
1986-12-02,aapl,0.155952
1986-12-03,aapl,0.160733
1986-12-04,aapl,0.159796
1986-12-05,aapl,0.164693
1986-12-08,aapl,0.159796
1986-12-09,aapl,0.159261
1986-12-10,aapl,0.163498
1986-12-11,aapl,0.161019
1986-12-12,aapl,0.155034
1986-12-15,aapl,0.157128
1986-12-16,aapl,0.159796
1986-12-17,aapl,0.155034
1986-12-18,aapl,0.155696
1986-12-19,aapl,0.158374
1986-12-22,aapl,0.158374
1986-12-23,aapl,0.158374
1986-12-24,aapl,0.157465
1986-12-25,aapl,0.157465
1986-12-26,aapl,0.154097
1986-12-29,aapl,0.152329
1986-12-30,aapl,0.154097
1986-12-31,aapl,0.152329
1987-01-01,aapl,0.152329
1987-01-02,aapl,0.153504
1987-01-05,aapl,0.161632
1987-01-06,aapl,0.164693
1987-01-07,aapl,0.16825
1987-01-08,aapl,0.16825
1987-01-09,aapl,0.170707
1987-01-12,aapl,0.171026
1987-01-13,aapl,0.167627
1987-01-14,aapl,0.180981
1987-01-15,aapl,0.187311
1987-01-16,aapl,0.183312
1987-01-19,aapl,0.199699
1987-01-20,aapl,0.193921
1987-01-21,aapl,0.184298
1987-01-22,aapl,0.197237
1987-01-23,aapl,0.188782
1987-01-26,aapl,0.187026
1987-01-27,aapl,0.198483
1987-01-28,aapl,0.208063
1987-01-29,aapl,0.20357
1987-01-30,aapl,0.208715
1987-02-02,aapl,0.209938
1987-02-03,aapl,0.208715
1987-02-04,aapl,0.206887
1987-02-05,aapl,0.202303
1987-02-06,aapl,0.202956
1987-02-09,aapl,0.197879
1987-02-10,aapl,0.198483
1987-02-11,aapl,0.212348
1987-02-12,aapl,0.220458
1987-02-13,aapl,0.233753
1987-02-16,aapl,0.233753
1987-02-17,aapl,0.249743
1987-02-18,aapl,0.238868
1987-02-19,aapl,0.23465
1987-02-20,aapl,0.23009
1987-02-23,aapl,0.237358
1987-02-24,aapl,0.246146
1987-02-25,aapl,0.259944
1987-02-26,aapl,0.259944
1987-02-27,aapl,0.263008
1987-03-02,aapl,0.253625
1987-03-03,aapl,0.244319
1987-03-04,aapl,0.254267
1987-03-05,aapl,0.257593
1987-03-06,aapl,0.252706
1987-03-09,aapl,0.242797
1987-03-10,aapl,0.250928
1987-03-11,aapl,0.249151
1987-03-12,aapl,0.245229
1987-03-13,aapl,0.238868
1987-03-16,aapl,0.245229
1987-03-17,aapl,0.251844
1987-03-18,aapl,0.247896
1987-03-19,aapl,0.257279
1987-03-20,aapl,0.256716
1987-03-23,aapl,0.253625
1987-03-24,aapl,0.249151
1987-03-25,aapl,0.250928
1987-03-26,aapl,0.252706
1987-03-27,aapl,0.244319
1987-03-30,aapl,0.234946
1987-03-31,aapl,0.242452
1987-04-01,aapl,0.250928
1987-04-02,aapl,0.269961
1987-04-03,aapl,0.269961
1987-04-06,aapl,0.263008
1987-04-07,aapl,0.254808
1987-04-08,aapl,0.259393
1987-04-09,aapl,0.266829
1987-04-10,aapl,0.264201
1987-04-13,aapl,0.253625
1987-04-14,aapl,0.255449
1987-04-15,aapl,0.266829
1987-04-16,aapl,0.268745
1987-04-17,aapl,0.268745
1987-04-20,aapl,0.26748
1987-04-21,aapl,0.281089
1987-04-22,aapl,0.279244
1987-04-23,aapl,0.285633
1987-04-24,aapl,0.281089
1987-04-27,aapl,0.281979
1987-04-28,aapl,0.289565
1987-04-29,aapl,0.292192
1987-04-30,aapl,0.298019
1987-05-01,aapl,0.300715
1987-05-04,aapl,0.299788
1987-05-05,aapl,0.301951
1987-05-06,aapl,0.300715
1987-05-07,aapl,0.301951
1987-05-08,aapl,0.297102
1987-05-11,aapl,0.290206
1987-05-12,aapl,0.28439
1987-05-13,aapl,0.29562
1987-05-14,aapl,0.298287
1987-05-15,aapl,0.294652
1987-05-18,aapl,0.285329
1987-05-19,aapl,0.275619
1987-05-20,aapl,0.280477
1987-05-21,aapl,0.280477
1987-05-22,aapl,0.279244
1987-05-25,aapl,0.279244
1987-05-26,aapl,0.293389
1987-05-27,aapl,0.299461
1987-05-28,aapl,0.301002
1987-05-29,aapl,0.297377
1987-06-01,aapl,0.292764
1987-06-02,aapl,0.290838
1987-06-03,aapl,0.292764
1987-06-04,aapl,0.29562
1987-06-05,aapl,0.292764
1987-06-08,aapl,0.292764
1987-06-09,aapl,0.29562
1987-06-10,aapl,0.29562
1987-06-11,aapl,0.297377
1987-06-12,aapl,0.297377
1987-06-15,aapl,0.29562
1987-06-16,aapl,0.312479
1987-06-17,aapl,0.304835
1987-06-18,aapl,0.312479
1987-06-19,aapl,0.308666
1987-06-22,aapl,0.316085
1987-06-23,aapl,0.310671
1987-06-24,aapl,0.316085
1987-06-25,aapl,0.304835
1987-06-26,aapl,0.304835
1987-06-29,aapl,0.307028
1987-06-30,aapl,0.304835
1987-07-01,aapl,0.301002
1987-07-02,aapl,0.305763
1987-07-03,aapl,0.305763
1987-07-06,aapl,0.307028
1987-07-07,aapl,0.29562
1987-07-08,aapl,0.280477
1987-07-09,aapl,0.28439
1987-07-10,aapl,0.286246
1987-07-13,aapl,0.304835
1987-07-14,aapl,0.323571
1987-07-15,aapl,0.331204
1987-07-16,aapl,0.331204
1987-07-17,aapl,0.325705
1987-07-20,aapl,0.314573
1987-07-21,aapl,0.311529
1987-07-22,aapl,0.319987
1987-07-23,aapl,0.314573
1987-07-24,aapl,0.319987
1987-07-27,aapl,0.318247
1987-07-28,aapl,0.315463
1987-07-29,aapl,0.308666
1987-07-30,aapl,0.312479
1987-07-31,aapl,0.310671
1987-08-03,aapl,0.303154
1987-08-04,aapl,0.318247
1987-08-05,aapl,0.325705
1987-08-06,aapl,0.348291
1987-08-07,aapl,0.35017
1987-08-10,aapl,0.363719
1987-08-11,aapl,0.373348
1987-08-12,aapl,0.36762
1987-08-13,aapl,0.369446
1987-08-14,aapl,0.369446
1987-08-17,aapl,0.373348
1987-08-18,aapl,0.36762
1987-08-19,aapl,0.376984
1987-08-20,aapl,0.390297
1987-08-21,aapl,0.399622
1987-08-24,aapl,0.393912
1987-08-25,aapl,0.392017
1987-08-26,aapl,0.392017
1987-08-27,aapl,0.392017
1987-08-28,aapl,0.392017
